"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C7,C9,C11,C13,C14,C15,C20,C21","11","0.1","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C2,C4,C6,C8,C10,C12,C16","7","33uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C17,C19","2","10uF","","","","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_HandSolder","~"
"D1","1","1N4148","","","","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"H1,H2,H3,H4,H5","5","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad","~"
"J1","1","Conn_01x16_MountingPin","","","","Connector_FFC-FPC:Amphenol_F32Q-1A7x1-11016_1x16-1MP_P0.5mm_Horizontal","~"
"J2","1","Conn_01x07","","Excluded from BOM","","user_lib:FPC_P0.80mm_Horizontal","~"
"J3,J4,J5","3","Conn_01x01","","","","user_lib:M.2-Card_boundaries","~"
"J6","1","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"L1","1","10uH","","","","Inductor_SMD:L_Wuerth_HCI-1040","~"
"R1","1","33k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3,R6","2","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","1","18k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5","1","8.2k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","1","NGFF_M","","","","user_lib:Conn_TE-M.2-0.5-67P-doublesided_TypeM",""
"U2","1","NGFF_B","","","","user_lib:NGFF_B",""
"U3,U4","2","NGFF_B","","","","user_lib:Conn_TE-M.2-0.5-67P-doublesided_TypeB",""
"U5","1","FR9889","","","","Package_SO:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias","https://datasheet.lcsc.com/lcsc/2004210832_Fitipower-Integrated-Tech-FR9889SPCTR_C516194.pdf"
